area_k,PropType,SpecArea,PresentUse,kca_area,n,av_bn,av_share
7,R,,4,7,18,0.0171047517521409,0.00240306215128685
7,R,,57,7,17,0.0167917492838299,0.00235908814945644
7,R,,301,7,4,0.00350400246134894,0.000492280496957793
7,R,,8,7,2,0.001131,0.000158895220023597
7,R,,9,7,1,0.001011,0.000142036310737273
7,R,,309,7,4,0.0003693,0.0000518832933286598
7,R,,182,7,1,0.000267,0.0000375110731620693
7,R,,332,7,1,0.000001,0.00000014049091071936
7,R,,149,7,1,0.00000000246831097013593,0.000000000346775256132984
77,R,,2,77,4760,3.00589203384325,0.782841448060958
77,R,,29,77,1437,0.757960929574236,0.197400047972737
77,R,,3,77,49,0.0339511518765406,0.00884209033429129
77,R,,300,77,245,0.0223405640309936,0.00581827933259481
77,R,,4,77,14,0.0114944037581343,0.00299355252327882
77,R,,301,77,6,0.003102,0.000807871388773815
77,R,,6,77,4,0.002387,0.000621659898453609
77,R,,57,77,2,0.001465,0.000381538228418323
77,R,,309,77,3,0.00112400492269788,0.000292730953542404
77,R,,149,77,2,0.000002,0.00000052087130159498
77,R,,332,77,1,0.000001,0.00000026043565079749
79,R,,2,79,6311,4.72958860764151,0.763529919412938
79,R,,29,79,1576,1.04285450728275,0.168355153896162
79,R,,3,79,192,0.161671704832241,0.0260997718834302
79,R,,300,79,516,0.100153903616352,0.0161685314095886
79,R,,6,79,93,0.0731867225935733,0.0118150344648757
79,R,,4,79,67,0.0660807517451789,0.0106678688656396
79,R,,301,79,32,0.0173561098662819,0.00280191582543002
79,R,,309,79,2,0.001493,0.000241025227403863
79,R,,101,79,1,0.001187,0.000191625549181772
79,R,,57,79,1,0.0008,0.000129149485547951
79,R,,266,79,8,0.0000000197186396308208,0.00000000318331520503242
79,R,,149,79,1,0.00000000246831097013593,0.000000000398476364956773
79,R,,332,79,1,0.00000000246542905094628,0.000000000398011116980856
8,R,,2,8,4603,4.94243213303422,0.938088528586845
8,R,,29,8,345,0.190634837886204,0.0361830673151344
8,R,,3,8,53,0.0589463517521409,0.0111881953848461
8,R,,300,8,166,0.0411613060927176,0.00781254006689318
8,R,,4,8,19,0.020235,0.003840664042523
8,R,,6,8,11,0.00677750350428181,0.00128639061067303
8,R,,57,8,6,0.006323,0.00120012447446864
8,R,,301,8,1,0.000798,0.000151462807310766
8,R,,5,8,1,0.000732,0.000138935808209876
8,R,,8,8,1,0.00058,0.000110085749674492
8,R,,266,8,8,0.0000000197464877610874,0.00000000374794294589221
8,R,,149,8,3,0.00000000740493291040778,0.00000000140547860470958
81,R,,2,81,4667,4.92901055820554,0.945879794865233
81,R,,29,81,188,0.13056889941102,0.0250562424917259
81,R,,300,81,206,0.0809255060300593,0.0155296484231807
81,R,,3,81,54,0.0519641517521409,0.0099719488565176
81,R,,4,81,17,0.017992,0.00345267454152319
81,R,,0,81,4,0.0005696,0.000109306548402157
81,R,,332,81,3,0.00000200246134893757,0.000000384273417066526
82,R,,2,82,4974,4.87877796353727,0.739078040454675
82,R,,29,82,1562,1.21743122263848,0.184426651333733
