mode,track,kind,level,key,n_parcels,av_base,pred_total,pred_land,pred_imps,share_report,share_model,run,scenario,act_total,act_land,act_imps,act_prev,act_n,nbhds,area_name,err_total,err_land,err_imps,miss_usd,n_parcels_all,av_base_all,coverage_ratio,coverage_basis,count_ratio,coverage_flag,cell_type,cell_label,actual_scope,mode_lab,pred_total_baseline,pred_total_optimistic,pred_total_pessimistic,pred_total_min,pred_total_max,scen_inverted,spec_root,tiny,in_summary,is_primary
anchor_qa,res,geo,area,1,4,6620000,-0.0469999999999988,-0.0469999999999987,-0.0469999999999997,1,0,anchored,baseline,-0.047,,,1145200,,,,0.00000000000000117961196366423,,,0.0000000078090311994572,4,6620000,1.44516241704506,panel mean AV / report mean AV,,FALSE,Residential area,Res 1,area report,Anchored parcels (QA),-0.0469999999999988,-0.0469999999999989,-0.0469999999999989,-0.0469999999999989,-0.0469999999999988,FALSE,,TRUE,FALSE,FALSE
anchor_qa,com,geo,area,14,431,999346100,0.0746999999999995,0.0746999999999998,0.0746999999999995,1,0,anchored,baseline,0.0747,,,5242027652,,,,-0.000000000000000457966997657877,,,-0.000000457667533038109,433,1001619400,0.191074802823264,panel matched AV / report total AV,,TRUE,Commercial area,Com 14,area report,Anchored parcels (QA),0.0746999999999995,0.0747008260069499,0.0747004767020578,0.0746999999999995,0.0747008260069499,FALSE,,FALSE,TRUE,FALSE
anchor_qa,com,geo,area,36,672,1478971356,0.0319999999999996,0.0319999999999996,0.0319999999999994,1,0,anchored,baseline,0.032,,,5670339032,,,,-0.000000000000000416333634234434,,,-0.000000615745519572108,686,1492047956,0.26313205393536,panel matched AV / report total AV,,TRUE,Commercial area,Com 36,area report,Anchored parcels (QA),0.0319999999999996,0.0319999999999996,0.0319999999999996,0.0319999999999996,0.0319999999999996,FALSE,,FALSE,TRUE,FALSE
anchor_qa,com,geo,area,17,926,2823994600,0.00239999999999974,0.00239999999999974,0.00239999999999951,1,0,anchored,baseline,0.0024,,,9003474699,,,,-0.000000000000000264111649217469,,,-0.000000745849871187226,927,2826346400,0.3139172924331,panel matched AV / report total AV,,TRUE,Commercial area,Com 17,area report,Anchored parcels (QA),0.00239999999999974,0.00240116720126071,0.00240067361084906,0.00239999999999974,0.00240116720126071,FALSE,,FALSE,TRUE,FALSE
anchor_qa,com,geo,area,19,1074,2484928000,0.000900000000000345,0.000900000000000345,0.000900000000000567,1,0,anchored,baseline,0.0009,,,4623849400,,,,0.000000000000000344993131284888,,,0.000000857283091737493,1084,2493900600,0.539355931445345,panel matched AV / report total AV,,TRUE,Commercial area,Com 19,area report,Anchored parcels (QA),0.000900000000000345,0.000900871689274441,0.000900986166761264,0.000900000000000345,0.000900986166761264,TRUE,,FALSE,TRUE,FALSE
anchor_qa,com,geo,area,45,617,958746000,0.0284010726511503,0.0283999999999998,0.0284036510084651,1,0,anchored,baseline,0.0284,,,3966422800,,,,0.0000010726511503259,,,1028.39999977035,626,965150600,0.243330237008521,panel matched AV / report total AV,,TRUE,Commercial area,Com 45,area report,Anchored parcels (QA),0.0284010726511503,0.0284,0.0284,0.0284,0.0284010726511503,FALSE,,FALSE,TRUE,FALSE
anchor_qa,com,geo,area,10,413,1225617697,-0.00389756180087275,-0.00390000000000057,-0.00387922462819723,1,0,anchored,baseline,-0.0039,,,3962976475,,,,0.00000243819912724898,,,2988.29999916631,413,1225617697,0.309266962529723,panel matched AV / report total AV,,TRUE,Commercial area,Com 10,area report,Anchored parcels (QA),-0.00389756180087275,-0.00389942972416613,-0.00389967088453269,-0.00389967088453269,-0.00389756180087275,FALSE,,FALSE,TRUE,FALSE
anchor_qa,com,geo,area,35,970,3965120700,-0.018097028388064,-0.0181000000000002,-0.0180931945784654,1,0,anchored,baseline,-0.0181,,,10398097170,,,,0.00000297161193596116,,,11782.7999996467,979,4021932200,0.386795019727634,panel matched AV / report total AV,,TRUE,Commercial area,Com 35,area report,Anchored parcels (QA),-0.018097028388064,-0.0180999817715218,-0.0180999894800485,-0.0180999894800485,-0.018097028388064,FALSE,,FALSE,TRUE,FALSE
anchor_qa,com,geo,area,20,917,3086865050,-0.0646969700651474,-0.0647,-0.064688543395579,1,0,anchored,baseline,-0.0647,,,11365040150,,,,0.00000302993485258585,,,9353.00000022415,919,3089583050,0.271849725933436,panel matched AV / report total AV,,TRUE,Commercial area,Com 20,area report,Anchored parcels (QA),-0.0646969700651474,-0.064699320240422,-0.0646994481287378,-0.0646994481287378,-0.0646969700651474,FALSE,,FALSE,TRUE,FALSE
anchor_qa,com,geo,area,30,635,5163849375,-0.31039666140533,-0.3104,-0.310368719875417,1,0,anchored,baseline,-0.3104,,,12838322086,,,,0.0000033385946699438,,,17239.9999997676,636,5170504975,0.40273993286384,panel matched AV / report total AV,,TRUE,Commercial area,Com 30,area report,Anchored parcels (QA),-0.31039666140533,-0.310399769983345,-0.310399867253644,-0.310399867253644,-0.31039666140533,FALSE,,FALSE,TRUE,FALSE
anchor_qa,com,geo,area,25,710,2711837130,-0.0529940285130625,-0.0530000000000006,-0.0529738503361165,1,0,anchored,baseline,-0.053,,,9852249530,,,,0.00000597148693754629,,,16193.699998548,713,2715314930,0.275603548380692,panel matched AV / report total AV,,TRUE,Commercial area,Com 25,area report,Anchored parcels (QA),-0.0529940285130625,-0.0529995780427697,-0.0529994887259956,-0.0529995780427697,-0.0529940285130625,TRUE,,FALSE,TRUE,FALSE
anchor_qa,com,geo,area,40,772,1455559341,-0.0062924903783087,-0.00629999999999997,-0.00624694876661347,1,0,anchored,baseline,-0.0063,,,4022072308,,,,0.00000750962169129843,,,10930.7000001456,778,1463941241,0.36397685792177,panel matched AV / report total AV,,TRUE,Commercial area,Com 40,area report,Anchored parcels (QA),-0.0062924903783087,-0.0062996325468071,-0.00629978793678043,-0.00629978793678043,-0.0062924903783087,FALSE,,FALSE,TRUE,FALSE
anchor_qa,com,specialty,spec,520,7,153637700,0.0102000000000009,0.0102000000000004,0.0102000000000013,1,0,anchored,baseline,0.0102,,,3291444600,,,,0.000000000000000874300631892311,,,0.000000134325538192481,7,153637700,0.0466778933481062,panel matched AV / report total AV,,FALSE,Commercial specialty,Spec 520,countywide specialty report,Anchored parcels (QA),0.0102000000000009,,,0.0102000000000009,0.0102000000000009,,,FALSE,TRUE,FALSE
anchor_qa,com,specialty,spec,800,62,2854958700,-0.12289569892202,-0.1229,-0.122894693219843,1,0,anchored,baseline,-0.1229,,,6583234800,,,,0.00000430107798020385,,,12279.3999989614,65,2871130400,0.43612760097817,panel matched AV / report total AV,,FALSE,Commercial specialty,Spec 800,countywide specialty report,Anchored parcels (QA),-0.12289569892202,,,-0.12289569892202,-0.12289569892202,,,FALSE,TRUE,FALSE
anchor_qa,com,specialty,spec,413,49,180812000,0.00510555881246888,0.00510000000000077,0.00522662358113868,1,0,anchored,baseline,0.0051,,,798729150,,,,0.00000555881246887963,,,1005.10000012306,51,184737900,0.231289793292257,panel matched AV / report total AV,,FALSE,Commercial specialty,Spec 413,countywide specialty report,Anchored parcels (QA),0.00510555881246888,,,0.00510555881246888,0.00510555881246888,,,FALSE,TRUE,FALSE
